========== 云驿 中继服务器 v1.0.1 ==========
启动时间: 2026-07-28 02:09:05
公网IP: 2408:8469:3c0:6e6d:49dd:e806:8e7:d8ce  控制端口: 40000  HTTP端口: 8080
端口池: 40001-41000
==========================================
2026-07-28 02:09:05 | 公网IP已更新: 127.0.0.1 -> 2408:8469:3c0:6e6d:49dd:e806:8e7:d8ce
2026-07-28 02:09:05 | 中继服务器已启动, 公网IP: 2408:8469:3c0:6e6d:49dd:e806:8e7:d8ce
2026-07-28 02:09:05 | 控制端口: 40000 HTTP端口: 8080
========== HTTP 日志 2026-07-28 02:09:05 ==========
========== 云驿 房主端 v1.0.1 ==========
启动时间: 2026-07-28 02:09:05
中继地址: 2408:8469:3c0:6e6d:49dd:e806:8e7:d8ce:40000
本地MC端口: 25565  HTTP端口: 8081
==========================================
2026-07-28 02:09:05 | 房主端已启动（空闲模式），等待连接指令
02:09:07 | GET / | 200
02:09:07 | GET /Icon.png | 200
02:09:07 | GET /api/v1/ping | 200
02:09:07 | GET /api/v1/stats | 200
02:09:07 | GET /api/v1/rooms | 200
02:09:07 | GET /api/v1/config | 200
02:09:08 | GET /api/v1/stats | 200
02:09:08 | GET /api/v1/rooms | 200
02:09:08 | GET /api/v1/config | 200
02:09:08 | GET /api/v1/stats | 200
02:09:08 | GET /api/v1/rooms | 200
02:09:08 | GET /api/v1/config | 200
02:09:09 | GET /api/v1/stats | 200
02:09:09 | GET /api/v1/rooms | 200
02:09:09 | GET /api/v1/config | 200
02:09:09 | GET /api/v1/logs | 200
02:09:11 | GET /api/v1/logs | 200
02:09:13 | GET /api/v1/logs | 200
02:09:15 | GET /api/v1/logs | 200
02:09:17 | GET /api/v1/logs | 200
02:09:19 | GET /api/v1/logs | 200
02:09:21 | GET /api/v1/logs | 200
02:09:23 | GET /api/v1/logs | 200
02:09:25 | GET /api/v1/logs | 200
02:09:27 | GET /api/v1/logs | 200
02:09:29 | GET /api/v1/logs | 200
02:09:31 | GET /api/v1/logs | 200
02:09:33 | GET /api/v1/logs | 200
02:09:35 | GET /api/v1/logs | 200
02:09:37 | GET /api/v1/logs | 200
02:09:39 | GET /api/v1/logs | 200
02:09:41 | GET /api/v1/logs | 200
02:09:43 | GET /api/v1/logs | 200
02:09:45 | GET /api/v1/logs | 200
02:09:47 | GET /api/v1/logs | 200
02:09:49 | GET /api/v1/logs | 200
02:09:51 | GET /api/v1/logs | 200
02:09:53 | GET /api/v1/logs | 200
02:09:55 | GET /api/v1/logs | 200
02:09:57 | GET /api/v1/logs | 200
02:09:59 | GET /api/v1/logs | 200
02:10:01 | GET /api/v1/logs | 200
02:10:03 | GET /api/v1/logs | 200
02:10:05 | GET /api/v1/logs | 200
02:10:07 | GET /api/v1/logs | 200
02:10:09 | GET /api/v1/logs | 200
02:10:11 | GET /api/v1/logs | 200
02:10:13 | GET /api/v1/logs | 200
02:10:15 | GET /api/v1/logs | 200
02:10:17 | GET /api/v1/logs | 200
02:10:19 | GET /api/v1/logs | 200
